Response_ID,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_score
R_1NsRph9Oqxl6CnG,Permanent,Yes,132,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2BlpeLG3DymUC2o,Permanent,Yes,108,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3WMv7jb7gBKEm2t,Permanent,Yes,67,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2SBT3CXWOyuor1k,Permanent,Yes,79,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_OBEgl4lS6LpSkDL,Permanent,Yes,108,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3QY8IjWLk2ZDKDs,Permanent,Yes,108,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,1
R_1jHPFIUCc8JCpXa,Permanent,Yes,33,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_6x0zO9KWBj8KUDL,Permanent,Don't know,464,Somewhat Satisfied,Don't know,No,Neither good or bad,Somewhat agree,No,Somewhat agree,Yes,Agree nor disagree,0
R_cMGCFYIGxSURpzX,Permanent,Yes,84,Very satisfied,Don't know,No,Somewhat good,Strongly agree,No,Somewhat agree,Yes,Agree nor disagree,1
R_1q8QVbp49i6YbKB,Permanent,Yes,84,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2b1bXkOktktQEaX,Permanent,Yes,24,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1F4g2aS6ME9QTrH,Permanent,Yes,28,Very satisfied,Yes,No,Somewhat good,Somewhat agree,Yes,Strongly Agree,Yes,Strongly disagree,0
R_2aQwfCpCinzt5l4,Permanent,No,30,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2BxP86OzfM5yrR1,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3JKlJW2ebdYIo5x,Don't know,No,2,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2qF65pPgWtbdd2l,Permanent,Yes,30,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Agree nor disagree,Yes,Somewhat agree,Don't know,Refused,0
R_1Cjejx6WzSGTg1I,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2CDE7OFie2k6zYC,Permanent,Yes,30,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3scxT78Ke8czCNt,Permanent,Don't know,24,Somewhat Satisfied,No,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3L7GaMl83fN1mlH,Permanent,Yes,14,Somewhat Satisfied,No,No,Neither good or bad,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,1
R_OJChNGSYAhfTOvf,Permanent,Don't know,72,Very satisfied,Yes,Don't know,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_20SXWkmOZz8uxfB,Permanent,Yes,12,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3NWbPWrihjCZugQ,Seasonal OR temporary,Yes,10,Very satisfied,Yes,No,Very good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,1
R_PTW77wrnTwbcUJr,Seasonal OR temporary,Yes,30,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly agree,1
R_3ezBlTmkoLn3NP4,Permanent,Yes,12,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_tGwnoo38m3t6zO9,Permanent,Yes,48,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_24CB1Kj0drWoxnn,Permanent,Yes,48,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2qgQSDDts0DVxoe,Permanent,Yes,24,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3LaItkaXjuBwXbI,Permanent,Yes,72,Very satisfied,Yes,No,Neither good or bad,Somewhat agree,Yes,Somewhat agree,Yes,Strongly disagree,1
R_2rNQvezNKQ3Hrfj,Permanent,Yes,36,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2f7gbefsFhcn42V,Permanent,Yes,8,Somewhat Satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly agree,1
R_6QEwNDMCQcDgoQ9,Permanent,Yes,48,Somewhat Satisfied,Yes,Yes,Somewhat good,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,1
R_xnnyJeLcPoeRc1b,Permanent,Yes,29,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2w6MPH1OkZz4EFV,Permanent,Yes,24,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,1
R_xsCWKUYe9Z3Kx6p,Permanent,Don't know,6,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_QlEgtgJasjmsxQR,Permanent,Yes,32,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2Xp1a2J6w9GBYBP,Permanent,Yes,30,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3k1vyFH8RRCxEkh,Permanent,Yes,66,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3IaGPUziyrNfG9B,Permanent,Refused,55,Very satisfied,Yes,No,Very good,Strongly agree,No,Refused,Yes,Agree nor disagree,1
R_2zPejaF224PNNZu,Permanent,Yes,84,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_1poI5E4kPck7rIl,Permanent,Yes,60,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_24MFLmU09OXlhd7,Permanent,Yes,22,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_C7xQyDwTVrKQ62Z,Permanent,Yes,24,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2AXecxvzOSvLRWz,Seasonal OR temporary,Yes,3,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_33xoLVbjaNqqfex,Permanent,Yes,36,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2Qg3nPbdaWQuHrz,Permanent,Yes,48,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3LYYEkmHv3ex4XJ,Seasonal OR temporary,Yes,33,Very satisfied,Yes,No,Very good,Somewhat agree,No,Strongly Agree,Yes,Somewhat disagree,1
R_1MNdXVBsKCEXzmg,Permanent,Yes,18,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3syvz34lncNru1l,Permanent,Yes,12,Somewhat Satisfied,Yes,No,Neither good or bad,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,1
R_A4ActswGkmrRBDz,Permanent,Yes,36,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1IblsT9Qi5EXdMB,Permanent,Yes,36,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2uDq7TUh2EaXOF3,Permanent,Yes,36,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_31ZePKoH4rD213q,Permanent,Yes,60,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3ek3EmFHMhTiivc,Permanent,Yes,63,Neither satisfied nor dissatisfied,Yes,No,Somewhat bad,Somewhat disagree,No,Strongly Agree,Yes,Strongly disagree,0
R_1rDH85aZWkXP7qT,Permanent,Yes,24,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_21okY5mXQUM38NQ,Permanent,Yes,48,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2WZvi79vnBx2Q41,Permanent,Yes,69,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,1
R_3IQyKcranMP7vA9,Permanent,Yes,8,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_cOWKkzILsOHPxiV,Seasonal OR temporary,Yes,15,Very satisfied,Yes,Yes,Very good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
