Response ID,gender_core,age_core,entity_tenure - Months,conditions_rate_core,safety_core,pressure_to_work_core,factory_recommend_tf_core
R_1NsRph9Oqxl6CnG,0,30,132,4,5,1,1
R_2BlpeLG3DymUC2o,1,30,108,3,5,1,1
R_3WMv7jb7gBKEm2t,0,24,67,4,5,1,1
R_2SBT3CXWOyuor1k,0,58,79,4,5,1,1
R_OBEgl4lS6LpSkDL,0,38,108,3,5,1,1
R_3QY8IjWLk2ZDKDs,0,37,108,3,5,1,1
R_1jHPFIUCc8JCpXa,1,27,33,3,5,1,1
R_6x0zO9KWBj8KUDL,0,56,464,3,4,3,1
R_cMGCFYIGxSURpzX,1,45,84,4,5,3,1
R_1q8QVbp49i6YbKB,1,28,84,3,5,1,1
R_2b1bXkOktktQEaX,0,37,24,5,5,1,1
R_1F4g2aS6ME9QTrH,1,28,28,4,4,1,1
R_2aQwfCpCinzt5l4,0,37,30,4,5,1,1
R_2BxP86OzfM5yrR1,0,28,72,4,5,1,1
R_3JKlJW2ebdYIo5x,0,18,2,5,5,1,1
R_2qF65pPgWtbdd2l,0,31,30,3,3,,1
R_1Cjejx6WzSGTg1I,0,52,72,5,5,1,1
R_2CDE7OFie2k6zYC,0,41,30,5,5,1,1
R_3scxT78Ke8czCNt,1,38,24,4,5,1,1
R_3L7GaMl83fN1mlH,1,41,14,3,5,1,1
R_OJChNGSYAhfTOvf,1,40,72,4,4,1,1
R_20SXWkmOZz8uxfB,1,30,12,5,5,1,1
R_3NWbPWrihjCZugQ,1,21,10,5,5,1,1
R_PTW77wrnTwbcUJr,0,39,30,4,4,5,1
R_3ezBlTmkoLn3NP4,1,28,12,4,5,1,1
R_tGwnoo38m3t6zO9,0,46,48,5,5,1,1
R_24CB1Kj0drWoxnn,0,35,48,4,5,1,1
R_2qgQSDDts0DVxoe,1,40,24,4,4,1,1
R_3LaItkaXjuBwXbI,1,62,72,3,4,1,1
R_2rNQvezNKQ3Hrfj,1,47,36,5,5,1,1
R_2f7gbefsFhcn42V,1,53,8,3,5,5,1
R_6QEwNDMCQcDgoQ9,0,27,48,4,3,1,1
R_xnnyJeLcPoeRc1b,0,56,29,5,5,1,1
R_2w6MPH1OkZz4EFV,1,23,24,4,5,1,1
R_xsCWKUYe9Z3Kx6p,0,19,6,5,5,1,1
R_QlEgtgJasjmsxQR,1,23,32,5,5,1,1
R_2Xp1a2J6w9GBYBP,0,23,30,4,5,1,1
R_3k1vyFH8RRCxEkh,0,29,66,5,5,1,1
R_3IaGPUziyrNfG9B,1,42,55,5,5,3,1
R_2zPejaF224PNNZu,0,28,84,4,5,1,1
R_1poI5E4kPck7rIl,1,33,60,5,5,1,1
R_24MFLmU09OXlhd7,1,29,22,5,5,1,1
R_C7xQyDwTVrKQ62Z,1,38,24,4,5,1,1
R_2AXecxvzOSvLRWz,0,46,3,5,5,1,1
R_33xoLVbjaNqqfex,0,52,36,4,5,1,1
R_2Qg3nPbdaWQuHrz,0,46,48,5,5,1,1
R_3LYYEkmHv3ex4XJ,0,39,33,5,4,2,1
R_1MNdXVBsKCEXzmg,1,22,18,4,5,1,1
R_3syvz34lncNru1l,1,25,12,3,3,1,1
R_A4ActswGkmrRBDz,1,37,36,4,5,1,1
R_1IblsT9Qi5EXdMB,1,31,36,5,5,1,1
R_2uDq7TUh2EaXOF3,1,22,36,5,5,1,1
R_31ZePKoH4rD213q,1,30,60,5,5,1,1
R_3ek3EmFHMhTiivc,1,33,63,2,2,1,0
R_1rDH85aZWkXP7qT,0,25,24,5,5,1,1
R_21okY5mXQUM38NQ,1,30,48,5,5,1,1
R_2WZvi79vnBx2Q41,0,30,69,5,5,5,1
R_3IQyKcranMP7vA9,1,32,8,5,5,1,1
R_cOWKkzILsOHPxiV,1,20,15,5,4,1,1
R_296LKsIxOwSj9cN,1,37,24,5,5,5,1
R_1LckwOa3KDfPmHu,0,41,30,5,5,1,1
R_114u7A8KAwzLCEm,1,50,35,5,5,1,1
R_8Iy7hxGXRkGEluV,1,48,15,3,5,1,1
R_3L1fp5BrnlSzBwR,0,21,12,5,5,1,1
R_29htgDRlyznCRhr,0,26,3,5,5,1,1
R_3elCEjWGTetp2hh,0,26,4,3,4,,1
R_1fdOdSyjg1WUstK,1,26,36,4,4,1,1
R_2eQYL2Zh3K7YEa2,1,51,27,5,5,1,1
R_1iep9GIv8b9P6um,1,47,10,3,5,1,1
R_29cTU5tt5Ju5Gu8,1,55,36,4,5,1,1
R_3PaBJ2fUBpZS2hI,0,31,7,4,4,1,1
R_Q4gMoR8DlQrFXIR,0,25,5,4,4,1,1
R_07JbBXwvBB9x5zX,0,27,66,5,5,1,1
R_1mmFtXZh6e4kR8M,0,19,5,5,5,3,1
R_10UdSiXnpDVvk0k,0,32,10,4,4,1,1
