Survey Number,Response ID,ch_account_name,gender_core,gender_core,age_core,education_level_core,education_level_core,worker_type_core,worker_type_core,understand_contract,understand_contract,entity_tenure - Years,entity_tenure - Months,total_tenure_months,workplace_satis_core,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,conditions_rate_core,safety_core,safety_core,accident_last_year,injury_last_year,covid_safety_measures_core,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,pressure_to_work_core,factory_recommend_tf_core
Survey 2,R_1NsRph9Oqxl6CnG,Farm 1,Man,0,30,Elementary School,Elementary School,Permanent,1,Yes,0,11,0,132,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_2BlpeLG3DymUC2o,Farm 1,Woman,1,30,No school,No school,Permanent,1,Yes,0,9,0,108,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_3WMv7jb7gBKEm2t,Farm 1,Man,0,24,Middle School,Middle School,Permanent,1,Yes,0,5,7,67,Very satisfied,4,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_2SBT3CXWOyuor1k,Farm 1,Man,0,58,Elementary School,Elementary School,Permanent,1,Yes,0,6,7,79,Very satisfied,4,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Demoter
Survey 2,R_OBEgl4lS6LpSkDL,Farm 1,Man,0,38,Middle School,Middle School,Permanent,1,Yes,0,9,0,108,Very satisfied,4,Yes,Yes,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_3QY8IjWLk2ZDKDs,Farm 1,Man,0,37,Elementary School,Elementary School,Permanent,1,Yes,0,9,0,108,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Don't know,Strongly disagree,0,Neutral
Survey 2,R_1jHPFIUCc8JCpXa,Farm 1,Woman,1,27,Middle School,Middle School,Permanent,1,Yes,0,2,9,33,Very satisfied,4,Yes,Yes,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_6x0zO9KWBj8KUDL,Farm 1,Man,0,56,Elementary School,Elementary School,Permanent,1,Don't know,Don't know,38,8,464,Somewhat Satisfied,3,Don't know,No,Neither good or bad,2,Somewhat agree,3,No,,Somewhat agree,3,Yes,Agree nor disagree,2,Demoter
Survey 2,R_cMGCFYIGxSURpzX,Farm 1,Woman,1,45,No school,No school,Permanent,1,Yes,0,7,0,84,Very satisfied,4,Don't know,No,Somewhat good,3,Strongly agree,4,No,,Somewhat agree,3,Yes,Agree nor disagree,2,Neutral
Survey 2,R_1q8QVbp49i6YbKB,Farm 1,Woman,1,28,Elementary School,Elementary School,Permanent,1,Yes,0,7,0,84,Neither satisfied nor dissatisfied,2,Yes,Yes,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2b1bXkOktktQEaX,Farm 1,Man,0,37,Elementary School,Elementary School,Permanent,1,Yes,0,2,0,24,Somewhat Satisfied,3,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_1F4g2aS6ME9QTrH,Farm 1,Woman,1,28,Middle School,Middle School,Permanent,1,Yes,0,2,4,28,Very satisfied,4,Yes,No,Somewhat good,3,Somewhat agree,3,Yes,1 occasion,Strongly Agree,4,Yes,Strongly disagree,0,Demoter
Survey 2,R_2aQwfCpCinzt5l4,Farm 1,Man,0,37,Middle School,Middle School,Permanent,1,No,1,2,6,30,Neither satisfied nor dissatisfied,2,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_2BxP86OzfM5yrR1,Farm 1,Man,0,28,Middle School,Middle School,Permanent,1,Yes,0,6,0,72,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_3JKlJW2ebdYIo5x,Farm 1,Man,0,18,Elementary School,Elementary School,Don't know,Don't know,No,1,0,2,2,Somewhat Satisfied,3,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2qF65pPgWtbdd2l,Farm 1,Man,0,31,High School,High School,Permanent,1,Yes,0,2,6,30,Neither satisfied nor dissatisfied,2,No,No,Neither good or bad,2,Agree nor disagree,2,Yes,1 occasion,Somewhat agree,3,Don't know,Refused,Refused,Demoter
Survey 2,R_1Cjejx6WzSGTg1I,Farm 1,Man,0,52,Middle School,Middle School,Permanent,1,Yes,0,6,0,72,Somewhat Satisfied,3,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_2CDE7OFie2k6zYC,Farm 1,Man,0,41,Elementary School,Elementary School,Permanent,1,Yes,0,2,6,30,Very satisfied,4,Yes,Don't know,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_3scxT78Ke8czCNt,Farm 1,Woman,1,38,Elementary School,Elementary School,Permanent,1,Don't know,Don't know,2,0,24,Somewhat Satisfied,3,No,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_3L7GaMl83fN1mlH,Farm 1,Woman,1,41,High School,High School,Permanent,1,Yes,0,1,2,14,Somewhat Satisfied,3,No,No,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Don't know,Strongly disagree,0,Demoter
Survey 2,R_OJChNGSYAhfTOvf,Farm 1,Woman,1,40,Elementary School,Elementary School,Permanent,1,Don't know,Don't know,6,0,72,Very satisfied,4,Yes,Don't know,Somewhat good,3,Somewhat agree,3,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_20SXWkmOZz8uxfB,Farm 1,Woman,1,30,Elementary School,Elementary School,Permanent,1,Yes,0,1,0,12,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_3NWbPWrihjCZugQ,Farm 1,Woman,1,21,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,10,10,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Promoter 
Survey 2,R_PTW77wrnTwbcUJr,Farm 1,Man,0,39,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,2,6,30,Very satisfied,4,Yes,Yes,Somewhat good,3,Somewhat agree,3,No,,Strongly Agree,4,Yes,Strongly agree,4,Demoter
Survey 2,R_3ezBlTmkoLn3NP4,Farm 1,Woman,1,28,Elementary School,Elementary School,Permanent,1,Yes,0,1,0,12,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_tGwnoo38m3t6zO9,Farm 1,Man,0,46,Elementary School,Elementary School,Permanent,1,Yes,0,4,0,48,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_24CB1Kj0drWoxnn,Farm 1,Man,0,35,Middle School,Middle School,Permanent,1,Yes,0,4,0,48,Very satisfied,4,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_2qgQSDDts0DVxoe,Farm 1,Woman,1,40,Middle School,Middle School,Permanent,1,Yes,0,2,0,24,Very satisfied,4,Yes,Yes,Somewhat good,3,Somewhat agree,3,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_3LaItkaXjuBwXbI,Farm 1,Woman,1,62,No school,No school,Permanent,1,Yes,0,6,0,72,Very satisfied,4,Yes,No,Neither good or bad,2,Somewhat agree,3,Yes,1 occasion,Somewhat agree,3,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2rNQvezNKQ3Hrfj,Farm 1,Woman,1,47,No school,No school,Permanent,1,Yes,0,3,0,36,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2f7gbefsFhcn42V,Farm 1,Woman,1,53,Elementary School,Elementary School,Permanent,1,Yes,0,0,8,8,Somewhat Satisfied,3,Yes,Yes,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly agree,4,Promoter 
Survey 2,R_6QEwNDMCQcDgoQ9,Farm 1,Man,0,27,Middle School,Middle School,Permanent,1,Yes,0,4,0,48,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Agree nor disagree,2,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_xnnyJeLcPoeRc1b,Farm 1,Man,0,56,No school,No school,Permanent,1,Yes,0,2,5,29,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2w6MPH1OkZz4EFV,Farm 1,Woman,1,23,Middle School,Middle School,Permanent,1,Yes,0,2,0,24,Very satisfied,4,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Neutral
Survey 2,R_xsCWKUYe9Z3Kx6p,Farm 1,Man,0,19,High School,High School,Permanent,1,Don't know,Don't know,0,6,6,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_QlEgtgJasjmsxQR,Farm 1,Woman,1,23,Middle School,Middle School,Permanent,1,Yes,0,2,8,32,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
