worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,injury_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_core
Permanent,Yes,132,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,7
Permanent,Yes,108,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,8
Permanent,Yes,67,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,8
Permanent,Yes,79,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,6
Permanent,Yes,108,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,8
Permanent,Yes,108,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,,Strongly Agree,Don't know,Strongly disagree,8
Permanent,Yes,33,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,7
Permanent,Don't know,464,Somewhat Satisfied,Don't know,No,Neither good or bad,Somewhat agree,No,,Somewhat agree,Yes,Agree nor disagree,5
Permanent,Yes,84,Very satisfied,Don't know,No,Somewhat good,Strongly agree,No,,Somewhat agree,Yes,Agree nor disagree,8
Permanent,Yes,84,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,24,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,28,Very satisfied,Yes,No,Somewhat good,Somewhat agree,Yes,1 occasion,Strongly Agree,Yes,Strongly disagree,5
Permanent,No,30,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,7
Permanent,Yes,72,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
Don't know,No,2,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,10
Permanent,Yes,30,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Agree nor disagree,Yes,1 occasion,Somewhat agree,Don't know,Refused,5
Permanent,Yes,72,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,8
Permanent,Yes,30,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,,Strongly Agree,Yes,Strongly disagree,9
