gender_core,age_core,understand_contract,understand_contract,total_tenure_months,workplace_satis_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_core
0,30,1,0,132,3,0,3,4,0,4,1,0,1
1,30,1,0,108,3,0,2,4,0,4,1,0,1
0,24,1,0,67,4,1,3,4,0,4,1,0,1
0,58,1,0,79,4,1,3,4,0,4,1,0,0
0,38,1,0,108,4,1,2,4,0,4,1,0,1
1,27,1,0,33,4,1,2,4,0,4,1,0,1
1,45,1,0,84,4,0,3,4,0,3,1,2,1
1,28,1,0,84,2,1,2,4,0,4,1,0,2
0,37,1,0,24,3,1,4,4,0,4,1,0,2
1,28,1,0,28,4,0,3,3,1,4,1,0,0
0,37,0,1,30,2,0,3,4,0,4,1,0,1
0,28,1,0,72,3,0,3,4,0,4,1,0,2
0,18,0,1,2,3,0,4,4,0,4,1,0,2
0,52,1,0,72,3,0,4,4,0,4,1,0,1
1,30,1,0,12,4,0,4,4,0,4,1,0,2
1,21,1,0,10,4,0,4,4,0,3,1,0,2
0,39,1,0,30,4,1,3,3,0,4,1,4,0
1,28,1,0,12,3,1,3,4,0,4,1,0,2
0,46,1,0,48,4,0,4,4,0,4,1,0,2
0,35,1,0,48,4,0,3,4,0,4,1,0,2
1,40,1,0,24,4,1,3,3,0,4,1,0,2
1,62,1,0,72,4,0,2,3,1,3,1,0,2
1,47,1,0,36,4,0,4,4,0,4,1,0,2
1,53,1,0,8,3,1,2,4,0,4,1,4,2
0,27,1,0,48,3,1,3,2,0,4,1,0,1
0,56,1,0,29,4,0,4,4,0,4,1,0,2
1,23,1,0,24,4,1,3,4,0,3,1,0,1
1,23,1,0,32,4,1,4,4,0,4,1,0,2
0,23,1,0,30,3,0,3,4,0,4,1,0,1
0,29,1,0,66,4,1,4,4,0,4,1,0,2
0,28,1,0,84,3,1,3,4,1,4,1,0,1
1,33,1,0,60,3,1,4,4,0,4,1,0,2
1,29,1,0,22,4,1,4,4,0,4,1,0,2
1,38,1,0,24,3,0,3,4,0,4,1,0,2
0,46,1,0,3,4,1,4,4,0,4,1,0,2
0,52,1,0,36,3,0,3,4,0,4,1,0,0
