Response_ID,Farm,Latitude,Longitute,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_score
R_1NsRph9Oqxl6CnG,Farm 1,19.3782959,-99.16210175,Permanent,Yes,132,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2BlpeLG3DymUC2o,Farm 1,19.43539429,-99.1427002,Permanent,Yes,108,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3WMv7jb7gBKEm2t,Farm 1,19.32299805,-98.22409821,Permanent,Yes,67,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2SBT3CXWOyuor1k,Farm 1,19.30279541,-98.26059723,Permanent,Yes,79,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_OBEgl4lS6LpSkDL,Farm 1,19.43539429,-99.1427002,Permanent,Yes,108,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3QY8IjWLk2ZDKDs,Farm 1,19.3782959,-99.16210175,Permanent,Yes,108,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,1
R_1jHPFIUCc8JCpXa,Farm 1,19.30279541,-98.26059723,Permanent,Yes,33,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_6x0zO9KWBj8KUDL,Farm 1,19.32299805,-98.22409821,Permanent,Don't know,464,Somewhat Satisfied,Don't know,No,Neither good or bad,Somewhat agree,No,Somewhat agree,Yes,Agree nor disagree,0
R_cMGCFYIGxSURpzX,Farm 1,19.43539429,-99.1427002,Permanent,Yes,84,Very satisfied,Don't know,No,Somewhat good,Strongly agree,No,Somewhat agree,Yes,Agree nor disagree,1
R_1q8QVbp49i6YbKB,Farm 1,19.43539429,-99.1427002,Permanent,Yes,84,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2b1bXkOktktQEaX,Farm 1,19.3782959,-99.16210175,Permanent,Yes,24,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1F4g2aS6ME9QTrH,Farm 1,19.30279541,-98.26059723,Permanent,Yes,28,Very satisfied,Yes,No,Somewhat good,Somewhat agree,Yes,Strongly Agree,Yes,Strongly disagree,0
R_2aQwfCpCinzt5l4,Farm 1,46.33270264,6.901702881,Permanent,No,30,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
