Response_ID,gender_core,age_core,education_level_core,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,management_complaint_treatment_core,leadership_feedback_core,factory_recommend_tf_score
R_1NsRph9Oqxl6CnG,Man,30,Elementary School,Permanent,Yes,132,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2BlpeLG3DymUC2o,Woman,30,No school,Permanent,Yes,108,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_3WMv7jb7gBKEm2t,Man,24,Middle School,Permanent,Yes,67,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_2SBT3CXWOyuor1k,Man,58,Elementary School,Permanent,Yes,79,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_OBEgl4lS6LpSkDL,Man,38,Middle School,Permanent,Yes,108,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_3QY8IjWLk2ZDKDs,Man,37,Elementary School,Permanent,Yes,108,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,Don't know,No,1
R_1jHPFIUCc8JCpXa,Woman,27,Middle School,Permanent,Yes,33,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_6x0zO9KWBj8KUDL,Man,56,Elementary School,Permanent,Don't know,464,Somewhat Satisfied,Don't know,No,Neither good or bad,Somewhat agree,No,Somewhat agree,Yes,Agree nor disagree,Don't know,No,0
R_cMGCFYIGxSURpzX,Woman,45,No school,Permanent,Yes,84,Very satisfied,Don't know,No,Somewhat good,Strongly agree,No,Somewhat agree,Yes,Agree nor disagree,"Maybe, depending on the topic",No,1
R_1q8QVbp49i6YbKB,Woman,28,Elementary School,Permanent,Yes,84,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2b1bXkOktktQEaX,Man,37,Elementary School,Permanent,Yes,24,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_1F4g2aS6ME9QTrH,Woman,28,Middle School,Permanent,Yes,28,Very satisfied,Yes,No,Somewhat good,Somewhat agree,Yes,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",Yes,0
R_2aQwfCpCinzt5l4,Man,37,Middle School,Permanent,No,30,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2BxP86OzfM5yrR1,Man,28,Middle School,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3JKlJW2ebdYIo5x,Man,18,Elementary School,Don't know,No,2,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2qF65pPgWtbdd2l,Man,31,High School,Permanent,Yes,30,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Agree nor disagree,Yes,Somewhat agree,Don't know,Refused,"Maybe, depending on the topic",Yes,0
R_1Cjejx6WzSGTg1I,Man,52,Middle School,Permanent,Yes,72,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_2CDE7OFie2k6zYC,Man,41,Elementary School,Permanent,Yes,30,Very satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3scxT78Ke8czCNt,Woman,38,Elementary School,Permanent,Don't know,24,Somewhat Satisfied,No,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Don't know,No,1
R_3L7GaMl83fN1mlH,Woman,41,High School,Permanent,Yes,14,Somewhat Satisfied,No,No,Neither good or bad,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,No,No,1
R_OJChNGSYAhfTOvf,Woman,40,Elementary School,Permanent,Don't know,72,Very satisfied,Yes,Don't know,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_20SXWkmOZz8uxfB,Woman,30,Elementary School,Permanent,Yes,12,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3NWbPWrihjCZugQ,Woman,21,Middle School,Seasonal OR temporary,Yes,10,Very satisfied,Yes,No,Very good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,Yes,No,1
R_PTW77wrnTwbcUJr,Man,39,Elementary School,Seasonal OR temporary,Yes,30,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly agree,"Maybe, depending on the topic",No,1
R_3ezBlTmkoLn3NP4,Woman,28,Elementary School,Permanent,Yes,12,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
R_tGwnoo38m3t6zO9,Man,46,Elementary School,Permanent,Yes,48,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_24CB1Kj0drWoxnn,Man,35,Middle School,Permanent,Yes,48,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2qgQSDDts0DVxoe,Woman,40,Middle School,Permanent,Yes,24,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3LaItkaXjuBwXbI,Woman,62,No school,Permanent,Yes,72,Very satisfied,Yes,No,Neither good or bad,Somewhat agree,Yes,Somewhat agree,Yes,Strongly disagree,Yes,Yes,1
R_2rNQvezNKQ3Hrfj,Woman,47,No school,Permanent,Yes,36,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_2f7gbefsFhcn42V,Woman,53,Elementary School,Permanent,Yes,8,Somewhat Satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly agree,Yes,No,1
R_6QEwNDMCQcDgoQ9,Man,27,Middle School,Permanent,Yes,48,Somewhat Satisfied,Yes,Yes,Somewhat good,Agree nor disagree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_xnnyJeLcPoeRc1b,Man,56,No school,Permanent,Yes,29,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_2w6MPH1OkZz4EFV,Woman,23,Middle School,Permanent,Yes,24,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_xsCWKUYe9Z3Kx6p,Man,19,High School,Permanent,Don't know,6,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_QlEgtgJasjmsxQR,Woman,23,Middle School,Permanent,Yes,32,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,"Maybe, depending on the topic",No,1
R_2Xp1a2J6w9GBYBP,Man,23,High School,Permanent,Yes,30,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3k1vyFH8RRCxEkh,Man,29,Middle School,Permanent,Yes,66,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,Yes,No,1
R_3IaGPUziyrNfG9B,Woman,42,Middle School,Permanent,Refused,55,Very satisfied,Yes,No,Very good,Strongly agree,No,Refused,Yes,Agree nor disagree,Yes,No,1
R_2zPejaF224PNNZu,Man,28,High School,Permanent,Yes,84,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,Yes,Yes,1
