Response_ID,gender_core,age_core,education_level_core,worker_type_core,understand_contract,entity_tenure_total_months,safety_core,accident_last_year,covid_safety_measures_core,pressure_to_work_core
R_1NsRph9Oqxl6CnG,Man,30,Elementary School,Permanent,Yes,132,Strongly agree,No,Strongly Agree,Strongly disagree
R_2BlpeLG3DymUC2o,Woman,30,No school,Permanent,Yes,108,Strongly agree,No,Strongly Agree,Strongly disagree
R_3WMv7jb7gBKEm2t,Man,24,Middle School,Permanent,Yes,67,Strongly agree,No,Strongly Agree,Strongly disagree
R_2SBT3CXWOyuor1k,Man,58,Elementary School,Permanent,Yes,79,Strongly agree,No,Strongly Agree,Strongly disagree
R_OBEgl4lS6LpSkDL,Man,38,Middle School,Permanent,Yes,108,Strongly agree,No,Strongly Agree,Strongly disagree
R_3QY8IjWLk2ZDKDs,Man,37,Elementary School,Permanent,Yes,108,Strongly agree,No,Strongly Agree,Strongly disagree
R_1jHPFIUCc8JCpXa,Woman,27,Middle School,Permanent,Yes,33,Strongly agree,No,Strongly Agree,Strongly disagree
R_6x0zO9KWBj8KUDL,Man,56,Elementary School,Permanent,Don't know,464,Somewhat agree,No,Somewhat agree,Agree nor disagree
R_cMGCFYIGxSURpzX,Woman,45,No school,Permanent,Yes,84,Strongly agree,No,Somewhat agree,Agree nor disagree
R_1q8QVbp49i6YbKB,Woman,28,Elementary School,Permanent,Yes,84,Strongly agree,No,Strongly Agree,Strongly disagree
R_2b1bXkOktktQEaX,Man,37,Elementary School,Permanent,Yes,24,Strongly agree,No,Strongly Agree,Strongly disagree
R_1F4g2aS6ME9QTrH,Woman,28,Middle School,Permanent,Yes,28,Somewhat agree,Yes,Strongly Agree,Strongly disagree
R_2aQwfCpCinzt5l4,Man,37,Middle School,Permanent,No,30,Strongly agree,No,Strongly Agree,Strongly disagree
R_2BxP86OzfM5yrR1,Man,28,Middle School,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Strongly disagree
R_3JKlJW2ebdYIo5x,Man,18,Elementary School,Don't know,No,2,Strongly agree,No,Strongly Agree,Strongly disagree
R_2qF65pPgWtbdd2l,Man,31,High School,Permanent,Yes,30,Agree nor disagree,Yes,Somewhat agree,Refused
R_1Cjejx6WzSGTg1I,Man,52,Middle School,Permanent,Yes,72,Strongly agree,No,Strongly Agree,Strongly disagree
R_2CDE7OFie2k6zYC,Man,41,Elementary School,Permanent,Yes,30,Strongly agree,No,Strongly Agree,Strongly disagree
R_3scxT78Ke8czCNt,Woman,38,Elementary School,Permanent,Don't know,24,Strongly agree,No,Strongly Agree,Strongly disagree
R_3L7GaMl83fN1mlH,Woman,41,High School,Permanent,Yes,14,Strongly agree,No,Strongly Agree,Strongly disagree
R_OJChNGSYAhfTOvf,Woman,40,Elementary School,Permanent,Don't know,72,Somewhat agree,No,Strongly Agree,Strongly disagree
R_20SXWkmOZz8uxfB,Woman,30,Elementary School,Permanent,Yes,12,Strongly agree,No,Strongly Agree,Strongly disagree
