Response_ID,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,return_next_season_core,factory_recommend_tf_score
R_1NsRph9Oqxl6CnG,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_2BlpeLG3DymUC2o,Somewhat Satisfied,Yes,No,Neither good or bad,Yes,1
R_3WMv7jb7gBKEm2t,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_2SBT3CXWOyuor1k,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_OBEgl4lS6LpSkDL,Very satisfied,Yes,Yes,Neither good or bad,Yes,1
R_3QY8IjWLk2ZDKDs,Somewhat Satisfied,Yes,No,Neither good or bad,Don't know,1
R_1jHPFIUCc8JCpXa,Very satisfied,Yes,Yes,Neither good or bad,Yes,1
R_6x0zO9KWBj8KUDL,Somewhat Satisfied,Don't know,No,Neither good or bad,Yes,0
R_cMGCFYIGxSURpzX,Very satisfied,Don't know,No,Somewhat good,Yes,1
R_1q8QVbp49i6YbKB,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Yes,1
R_2b1bXkOktktQEaX,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_1F4g2aS6ME9QTrH,Very satisfied,Yes,No,Somewhat good,Yes,0
R_2aQwfCpCinzt5l4,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Yes,1
R_2BxP86OzfM5yrR1,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_3JKlJW2ebdYIo5x,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_2qF65pPgWtbdd2l,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Don't know,0
R_1Cjejx6WzSGTg1I,Somewhat Satisfied,Yes,No,Very good,Yes,1
R_2CDE7OFie2k6zYC,Very satisfied,Yes,Don't know,Very good,Yes,1
R_3scxT78Ke8czCNt,Somewhat Satisfied,No,No,Somewhat good,Yes,1
R_3L7GaMl83fN1mlH,Somewhat Satisfied,No,No,Neither good or bad,Don't know,1
R_OJChNGSYAhfTOvf,Very satisfied,Yes,Don't know,Somewhat good,Yes,1
R_20SXWkmOZz8uxfB,Very satisfied,Yes,No,Very good,Yes,1
R_3NWbPWrihjCZugQ,Very satisfied,Yes,No,Very good,Yes,1
R_PTW77wrnTwbcUJr,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_3ezBlTmkoLn3NP4,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_tGwnoo38m3t6zO9,Very satisfied,Yes,No,Very good,Yes,1
R_24CB1Kj0drWoxnn,Very satisfied,Yes,No,Somewhat good,Yes,1
R_2qgQSDDts0DVxoe,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_3LaItkaXjuBwXbI,Very satisfied,Yes,No,Neither good or bad,Yes,1
R_2rNQvezNKQ3Hrfj,Very satisfied,Yes,No,Very good,Yes,1
R_2f7gbefsFhcn42V,Somewhat Satisfied,Yes,Yes,Neither good or bad,Yes,1
R_6QEwNDMCQcDgoQ9,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_xnnyJeLcPoeRc1b,Very satisfied,Yes,No,Very good,Yes,1
R_2w6MPH1OkZz4EFV,Very satisfied,Yes,Yes,Somewhat good,Yes,1
R_xsCWKUYe9Z3Kx6p,Very satisfied,Yes,Yes,Very good,Yes,1
R_QlEgtgJasjmsxQR,Very satisfied,Yes,Yes,Very good,Yes,1
R_2Xp1a2J6w9GBYBP,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_3k1vyFH8RRCxEkh,Very satisfied,Yes,Yes,Very good,Yes,1
R_3IaGPUziyrNfG9B,Very satisfied,Yes,No,Very good,Yes,1
R_2zPejaF224PNNZu,Somewhat Satisfied,Yes,Yes,Somewhat good,Yes,1
R_1poI5E4kPck7rIl,Somewhat Satisfied,Yes,Yes,Very good,Yes,1
R_24MFLmU09OXlhd7,Very satisfied,Yes,Yes,Very good,Yes,1
R_C7xQyDwTVrKQ62Z,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
R_2AXecxvzOSvLRWz,Very satisfied,Yes,Yes,Very good,Yes,1
R_33xoLVbjaNqqfex,Somewhat Satisfied,Yes,No,Somewhat good,Yes,1
